PeriodKey,PeriodDateEnd,Month,Quarter,Year,Category,SubCategory,Country,Segment,Driver_Score,Driver,Brand,Equity_Score,CBI
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,69,My favourite brand/brand I purchase most often,Probulin Total Care Probiotics,78,73
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,88,Minimise gas,Renew Life Men's Care Probiotic,76,76
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,74,"Vaginal health (prevents bacteria/yeast infection, etc)",Renew Life Women's Care,69,58
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,75,Good promotions,Friska Nightly Reboot,77,42
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,85,Great reviews and recommendations,Garden of Life Dr Formulated Probiotics Once Daily Restore Sleep,77,66
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,74,Brand has nice advertising,Optibac Everyday Probiotics,77,64
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,78,Relaxes me before bed,Biotiquest Simple Slumber Probiotics,77,76
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,72,Uses unique/high quality ingredients,Nordic Naturals Nordic Flora Probiotic Daily,75,73
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,60,Helps to detox,Ancient Nutrition SBO Probiotics Men’s,75,63
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,83,Brand is trustworthy,Garden of Life Dr Formulated Probiotics Once Daily Women's,68,59
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,86,Good promotions,Bio-Kult Pro-Cyan,68,50
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,84,Improves immune system,Friska Nightly Reboot,76,42
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,81,Uses unique/high quality ingredients,Garden of Life Dr Formulated Probiotics Once Daily Restore Sleep,76,66
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,66,Minimise gas,Probulin Total Care Probiotics,76,73
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,77,Likes the brand's ambassadors,Innovixlabs Multi-Strain Probiotics,76,45
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,36,Easily available,Peptiva Clinically Validated Probiotics Sleep Support,76,83
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,85,Great value-for-money,Peptiva Clinically Validated Probiotics Sleep Support,76,83
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,78,Relaxes me before bed,HUM Nutrition Beauty zzZz ,76,54
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,50,Better colon health,Probulin Total Care Probiotics,57,73
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,85,Great reviews and recommendations,Gaia Herbs Sound Sleep,76,28
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,80,Better colon health,Garden of Life Dr Formulated Probiotics Once Daily Men's,74,87
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,74,Likes the brand's ambassadors,Solaray Men’s Formula,74,81
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,44,My favourite brand/brand I purchase most often,Culturelle Daily Probiotic ,74,62
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,86,Improves immune system,Ritual Synbiotic+,68,77
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,86,Good promotions,Culturelle Women's Healthy Balance,67,88
